token,count
碰到,8217
眼光,8212
屏幕,8208
烧烤,8204
长沙,8201
巨,8199
蟹,8189
人品,8181
心理,8179
话题,8178
榴莲,8176
十一,8167
多么,8153
缘分,8148
尽量,8144
万一,8141
学会,8130
资源,8125
五月,8119
经验,8119
目标,8110
实习,8104
表现,8098
调,8079
脖子,8074
水平,8070
各,8067
成长,8065
媳妇,8059
似的,8058
喜,8057
堵,8045
不怎么,8043
相当,8029
被子,8027
超市,8021
顺,8014
成绩,8013
游泳,7996
要么,7990
扣,7983
实现,7978
汗,7973
举报,7966
负责,7956
男孩,7956
睡着,7956
小伙伴,7953
排队,7951
此,7938
牛奶,7936
奶茶,7934
墙,7932
害羞,7922
欣赏,7920
口红,7916
强大,7914
巧克力,7914
或许,7913
脾气,7901
网红,7891
主,7881
说是,7879
结,7874
签名,7863
房,7859
失去,7857
叔,7851
质量,7848
踩,7840
花钱,7834
咦,7834
外套,7831
辈子,7801
稳,7794
帮忙,7785
相亲,7772
投,7769
莫,7762
尝试,7753
通,7749
矮,7744
租,7742
初中,7741
涂,7739
脏,7737
乖乖,7736
牌,7722
歌词,7712
熟悉,7698
尽,7695
单纯,7689
传,7689
仔细,7653
另外,7642
精,7636
距离,7632
动物,7632
社长,7626
流,7621
中秋,7620
打球,7616
思考,7613
兔子,7611
普通,7608
啊哈,7605
耳朵,7602
爹,7589
不易,7588
印象,7583
略,7581
心中,7577
老家,7565
黄,7565
隔,7550
凭,7548
力,7548
小米,7547
五一,7537
辣么,7523
镜头,7520
嗯哼,7517
瞬间,7515
神奇,7486
大人,7485
何,7476
起码,7472
季,7457
性格,7454
可不,7450
四川,7446
结局,7443
愿望,7441
面包,7440
盆,7435
下载,7425
绝望,7424
情绪,7418
吓人,7416
处理,7416
学霸,7404
泪,7402
自动,7388
精彩,7377
机智,7375
挖,7374
显,7368
答案,7362
神马,7338
良心,7336
造,7328
嫩,7321
虐,7298
噶,7298
树,7295
我真,7288
不止,7285
尤其,7274
有事,7268
青岛,7264
腻,7260
压,7259
一会儿,7252
作品,7246
短袖,7239
面对,7239
流量,7237
屁,7237
房间,7235
家庭,7226
嗯呐,7225
系统,7225
数学,7223
毁,7218
酸,7218
组织,7217
尊重,7213
自我,7212
好不,7210
娃娃,7205
愁,7199
羽绒服,7199
塞,7196
体会,7173
好事,7139
老是,7129
区别,7125
感慨,7118
表,7118
指甲,7105
警察,7104
态度,7100
攒,7100
扯,7100
发给,7095
间,7089
保暖,7088
某,7077
国家,7075
信息,7075
土豆,7072
之间,7065
几乎,7065
轻松,7063
依旧,7060
妞,7033
撸,7032
不可,7027
失败,7027
打扰,7023
天津,7023
季节,7019
躲,7016
鼻子,7016
图书馆,7015
早饭,7012
保重,6998
棒棒,6994
果断,6991
是滴,6989
看好,6980
牛肉,6976
走开,6973
云,6958
梦见,6955
无奈,6955
设计,6942
面前,6935
剧情,6925
师姐,6917
领,6903
福,6902
揍,6901
同样,6871
迟,6868
有时,6859
暖气,6859
十几,6851
室友,6847
老铁,6844
放在,6841
清新,6838
实力,6820
走路,6820
累死,6818
有用,6811
年轻人,6807
要不,6806
本事,6802
专门,6802
安逸,6796
出发,6794
舍得,6782
受不了,6774
防,6770
山东,6764
落,6762
伞,6761
云南,6760
醋,6759
暖和,6755
抹,6746
留下,6745
研究,6737
反驳,6734
刮,6729
热水,6728
放下,6708
网络,6707
深夜,6699
鼓励,6694
机场,6688
有趣,6682
好哒,6682
英雄,6674
回国,6673
眼泪,6670
发展,6663
不理,6658
毒,6646
周五,6643
念,6642
嘎,6631
月亮,6628
奔,6628
极,6626
套路,6621
凑,6618
人才,6617
喵,6615
嘴巴,6614
