token,count
德国,7458
对不起,7458
歌,7448
不怕,7433
作用,7422
错误,7416
森林,7411
本人,7395
守,7393
呼吸,7389
蓝,7388
批,7380
远处,7379
道路,7368
大学,7366
皱,7348
脚步,7346
读者,7341
也好,7332
点儿,7325
官,7325
绕,7321
能力,7319
有着,7307
直接,7297
每次,7289
小孩,7283
亲,7270
原谅,7263
点头,7257
第,7250
组织,7247
出于,7243
兵,7243
世上,7239
主任,7239
铁,7239
店,7236
目前,7233
不曾,7230
左,7223
爷爷,7222
出门,7222
说不定,7211
药,7182
呵,7176
同情,7174
实,7172
射,7169
做出,7160
点点头,7149
罗马,7149
胜利,7146
明,7145
弟弟,7142
电影,7137
周,7137
教授,7134
挑,7116
哪个,7108
迅速,7105
旅馆,7101
踢,7099
有趣,7087
内容,7083
惊讶,7075
位置,7074
法律,7060
右,7058
病人,7057
安静,7048
丝毫,7038
沉,7037
半天,7032
最好,7031
好处,7031
坚持,7010
晓得,7000
注视,6998
仆人,6987
伤心,6981
看法,6970
岂,6968
状态,6965
散,6961
享受,6957
农民,6952
从未,6940
一路,6937
地下,6935
砍,6926
神秘,6923
政府,6919
古,6916
墙上,6906
身旁,6903
亲自,6898
引,6892
保护,6891
主,6880
李,6879
书记,6871
涌,6865
倘若,6861
赶紧,6860
发表,6859
苍白,6851
死去,6849
喝酒,6836
理,6829
娶,6828
当中,6826
据,6823
晚饭,6816
拥有,6771
师父,6768
夜晚,6764
干净,6747
五十,6741
讨论,6733
初,6731
事实上,6728
吩咐,6718
文字,6716
车子,6713
大师,6703
之一,6698
欢迎,6696
价值,6692
允许,6688
屁股,6681
气味,6680
一两,6679
程度,6673
一百,6669
民族,6666
登,6651
碰到,6645
吃惊,6641
仅,6624
世,6623
造成,6619
事件,6618
哟,6617
慢,6616
脾气,6610
挖,6608
公主,6601
人人,6597
摔,6597
说法,6587
停止,6578
念头,6575
明显,6569
火车,6568
健康,6535
一辈子,6532
鞋,6532
收拾,6529
贵族,6526
抹,6523
兄,6520
跪,6517
勇气,6507
稍,6501
送给,6498
答,6493
片刻,6492
楼梯,6472
据说,6468
瘦,6466
利用,6465
士兵,6464
博士,6456
不时,6454
得意,6454
经,6453
树林,6452
默默,6440
年代,6436
生意,6433
鸡,6431
商量,6426
独自,6422
海,6420
米,6414
蹲,6412
影子,6412
过程,6410
圆,6410
提起,6408
未来,6408
联系,6404
挨,6391
玻璃,6387
郭靖,6386
湿,6377
当作,6372
妇人,6369
德,6359
不由得,6357
动手,6356
锁,6353
处理,6348
安全,6348
认,6340
寻,6328
只得,6323
穷,6307
创造,6306
拔,6305
右手,6303
弟子,6294
任,6291
建议,6288
距离,6285
托,6279
乐,6278
什么样,6271
性格,6262
颤抖,6258
皆,6253
放弃,6250
正确,6250
飞机,6240
镜子,6238
神父,6235
控制,6234
想想,6233
保证,6230
尸体,6227
悄悄,6227
踩,6222
地面,6221
缓缓,6220
群众,6218
捧,6215
投,6214
整,6204
无数,6194
趟,6193
暗,6185
条件,6183
罪,6181
怀里,6172
愈,6169
打听,6169
打电话,6169
到达,6166
相同,6165
军队,6162
解,6155
眼里,6154
洞,6145
大厅,6142
严重,6131
彻底,6124
小子,6105
失望,6102
忍受,6100
演,6100
月亮,6097
街道,6093
从此,6073
队伍,6062
夏天,6061
总之,6060
旅行,6059
以外,6057
形象,6052
众,6050
胖,6049
身份,6047
沙发,6045
滴,6040
对付,6037
起身,6034
扎,6032
游,6030
思考,6028
门外,6025
讲话,6020
亨利,6018
欲,6017
窗外,6014
鱼儿,6013
偏,6013
手臂,6012
左手,6009
捏,6006
情景,6003
天上,5998
相反,5994
赶快,5993
自我,5993
达到,5985
招呼,5984
某些,5978
挥,5977
接近,5974
空中,5974
配,5974
冬天,5968
苏格拉底,5963
杨过,5962
环境,5958
南,5958
绝,5957
确,5956
软,5952
一向,5945
瓶,5945
疯,5935
钟,5932
莫,5931
老头,5926
老实,5921
勇敢,5919
面孔,5919
年龄,5904
叫做,5898
感激,5895
春天,5895
抬头,5888
划,5886
遇,5885
面包,5884
提供,5875
想不到,5874
羊,5867
碎,5866
道德,5866
溜,5865
布,5865
不对,5862
用不着,5860
感动,5859
演员,5859
重复,5855
勉强,5851
人员,5836
游戏,5834
一齐,5829
绝望,5816
老是,5814
跟前,5813
走向,5812
难过,5810
斜,5805
露,5803
弹,5800
神色,5797
极其,5792
女孩子,5787
战斗,5787
齐,5785
国,5780
好多,5779
搂,5775
心头,5769
实际,5768
某个,5765
任务,5764
这边,5763
何况,5760
令狐冲,5756
治,5755
线,5749
说是,5742
女性,5740
事业,5739
付,5737
感受,5736
故,5724
色,5723
形式,5721
熟,5721
千万,5717
教师,5715
埋,5714
番,5711
斗争,5709
有所,5706
深处,5704
疼,5700
男女,5694
陈,5694
在于,5692
毫不,5684
四十,5680
咖啡,5666
爸,5665
客气,5662
暂时,5660
没法,5657
嚷,5654
惹,5648
牺牲,5648
箱子,5638
力气,5637
负责,5636
正常,5634
老子,5632
缘故,5631
意外,5631
欧洲,5629
普通,5627
白天,5618
尚,5614
刮,5613
占,5612
班,5609
香,5604
走廊,5603
请求,5601
味道,5586
法子,5586
江湖,5585
无论如何,5584
横,5582
决心,5574
千,5574
偶尔,5573
媳妇,5566
