音节	字数	常用字数(前3500)	总频	前12字
qy	5	2	952153	群裙逡囷麇
rr	5	2	512716	软阮堧瓀媆
nn	5	2	459082	鸟尿脲袅茑
tp	5	3	1257636	铁贴帖萜餮
ko	5	4	381075	括扩阔廓蛞
hf	5	4	22107806	很恨狠痕𬣳
ur	5	3	119925	涮栓拴闩腨
pp	5	1	30142	撇瞥苤氕𬭯
zr	5	1	125355	钻纂攥缵躜
pz	4	1	25837	剖抔裒掊
ah	4	1	168656	昂盎肮卬
kg	4	1	357956	坑铿吭硁
ik	4	2	37799	踹揣啜搋
en	4	3	783552	恩嗯摁蒽
nv	4	1	2010860	女钕衄恧
te	4	1	1996863	特忑铽慝
sr	4	3	2265192	算酸蒜狻
cz	3	1	108032	凑腠辏
ux	3	2	541073	刷耍唰
cf	3	2	636497	参岑涔
ne	3	3	4586515	呢哪讷
ha	3	2	867934	哈蛤铪
pf	3	2	453615	喷盆湓
hw	3	2	1330757	黑嘿𬭶
wd	3	2	2163407	外歪崴
kr	3	3	2012984	款宽髋
vx	3	2	471685	抓爪髽
ud	3	3	1217432	色晒筛
dq	2	1	199757	丢铥
rg	2	2	958390	仍扔
nw	2	1	4148861	内馁
fz	2	1	245629	否缶
yo	2	1	124142	哟唷
oo	2	2	1332211	哦噢
ng	2	2	11251108	能嗯
dw	2	1	5658453	得嘚
ca	2	1	230902	擦嚓
nl	2	2	209001	娘酿
nf	2	1	313821	嫩恁
zf	2	1	251723	怎谮
re	2	2	1269873	热惹
ri	2	1	7707478	日驲
ry	2	2	292312	润闰
nt	2	1	68796	虐疟
mq	2	1	20196	缪谬
zw	2	1	88163	贼鲗
me	1	1	1511629	么
fo	1	1	402098	佛
lx	1	1	322639	俩
sg	1	1	68232	僧
kw	1	0	293	剋
dx	1	1	33307	嗲
nb	1	1	3161764	您
df	1	0	155	扽
vk	1	1	42768	拽
nr	1	1	247796	暖
sf	1	1	738119	森
ei	1	0	2093	欸
gw	1	1	6985613	给
nz	1	0	2297	耨
uw	1	1	1508124	谁
