音节	字数	已用位	空位	得分	音节总频	理想前k未获简码字
tn	17	13	14	100.0	2867201	髫0 祧0 笤0 嬥0
jr	17	11	16	98.9	1469865	隽1 狷0 蠲0 鄄0 锩0 桊0
bb	17	14	13	96.9	602678	濒1 槟0 摈0
dh	17	12	15	100.0	4457916	谠0 垱0 菪0 筜0 𣗋0
la	17	13	14	99.0	4379980	喇2 剌1 邋0 蝲0
co	17	13	14	92.3	997662	搓4 挫2 嵯0
td	17	12	15	97.7	8884915	胎17 肽2 邰0 炱0 薹0
ky	17	12	15	96.4	494215	琨1 焜0 髡0 鹍0 壸0
bk	16	11	16	99.4	10289744	秉4 禀0 槟0 摒0 邴0
er	16	12	15	99.8	15150836	饵2 迩0 耏0
wh	16	9	18	93.1	7316446	忘36 亡11 妄1 罔0 辋0 尪0 尢0
pw	16	14	13	100.0	2246371	旆0 衃0
cv	16	15	12	100.0	824853	漼0
rs	16	13	14	94.8	1761185	蓉7 茸1 狨0
ug	16	12	15	99.9	8510905	昇0 嵊0 甥0 陞0 眚0
sz	16	12	15	97.7	449344	嗽0 瞍0 嗾0 蒐0
gg	16	11	16	99.6	10502802	羹3 赓0 暅0 鹒0
mn	16	12	15	99.7	926827	藐0 眇0 鹋0
pm	15	11	16	99.8	4080094	翩0 骈0 㛹0
gd	15	11	16	98.3	6864158	概11 荄0 戤0 𬮿0
ou	15	11	16	99.0	4046603	鸥2 殴0 瓯0
dn	15	12	15	99.1	1687697	叼1 铫0 铞0
kd	15	10	17	99.6	4188587	慨1 锴0 忾0 锎0 剀0
hx	15	14	13	100.0	9238243	婳0
pn	15	12	15	98.6	1018012	瓢1 剽0 蔈0
mh	15	9	18	94.0	548160	茫1 莽1 氓0 邙0 牻0 牤0
ma	15	11	16	94.0	8643589	骂27 摩23 蚂0 蟆0
ic	15	12	15	98.5	3428388	焯3 嘲1 耖0
nc	15	11	16	99.5	611427	孬0 垴0 硇0 峱0
vr	14	12	15	100.0	3570050	僎0 䏝0
iy	14	13	14	100.0	1341851	堾0
qp	14	10	17	99.8	2143770	惬0 郄0 慊0
cs	14	11	16	100.0	7785547	璁0 淙0 苁0
na	14	12	15	99.4	10706954	呐5 镎0
hd	14	9	18	99.9	15404795	骸0 骇0 嗐0 咍0
ze	14	11	16	99.9	3439911	啧0 迮0 箦0
ld	14	13	14	100.0	12848122	涞0
zs	14	9	18	100.0	3172508	偬0 鬷0 疭0
dz	14	11	16	99.0	21137632	抖8 逗7 痘5
uz	14	10	17	79.9	7958866	首112 守31 兽14 狩1
dg	14	12	15	99.7	15309462	瞪2 凳1
qt	14	11	16	99.9	3388054	阕0 碏0 埆0
uh	13	12	15	100.0	20059878	垧0
ph	13	12	15	99.8	588866	逄0
wa	13	12	15	99.9	1211782	娲0
zu	13	12	15	100.0	3246485	俎0
mk	13	11	16	100.0	5449948	洺0 暝0
gx	13	10	17	99.6	811328	剐0 鸹0
ku	13	11	16	99.9	1880243	骷0 圐0
xt	13	10	17	100.0	5189212	谑0 峃0 茓0
zj	13	9	18	99.9	1189314	錾0 拶0 酂0 趱0
pa	13	13	14	100.0	1374326	
nm	13	9	18	99.8	12980980	廿1 拈0 撵0
hy	13	10	17	99.8	781972	诨0 溷0 碈0
kk	12	11	16	100.0	20504039	郐0
cj	12	9	18	89.8	1371709	残13 粲0 惭0
zg	12	7	20	99.9	2794114	甑0 缯0 罾0 鄫0 䎖0
nd	12	7	20	98.8	956188	迺0 鼐0 艿0 佴0 耏0
kh	12	9	18	99.2	1046565	炕0 𩾌0
hg	12	8	19	99.9	3935430	桁0 鸻0 堼0
cd	12	9	18	95.7	9140263	蔡24 踩14
pc	12	12	15	100.0	1617988	
ty	12	11	16	99.9	240104	焞0
bg	12	11	16	99.9	190440	琫0
dr	12	9	18	99.9	2799815	煅0 簖0 瑖0
js	11	9	18	95.1	30482	冏0 𬳶0
ir	11	9	18	99.1	3452060	喘3 遄0
