㑇	亻 ⺈ 彐
卮	㇒ 𠂉 ⺋
卯	㇒ 6 3 卩
印	㇒ 6 1 卩
危	⺈ 厂 ⺋
即	彐 6 ㇏ 卩
却	土 厶 卩
卵	㇒ 6 ㇏ 3 卩 ㇏
卷	丷 夫 ⺋
卸	𠂉 1  卩
卺	5 水 1 ⺋
卿	㇒ 6 3 彐 6 ㇏ 卩
厂	厂
厄	厂 ⺋
厅	厂 丁
历	厂 力
厉	厉
压	厂 土 ㇏
厌	厂 犬
厍	厂 车
厕	厂 贝 刂
厖	厂 𠂇 6 ㇒ ㇒ ㇒ ㇏
厘	厂 日 
厚	厂 日 子
厝	厂 艹 1 日
原	厂 白 小
厢	厂 木 目
厣	厂 犬 日 2
厥	厂 丷 1 6 2 3 ⺈ 人
厦	厂 1 自 夂
厨	厂 1 口 丷 1 寸
厩	厂 彐 6 ㇏ 1 6 儿
厮	厂  八 斤
去	土 厶
厾	6 土 厶
县	且 厶
叁	厶 大 三
参	厶 大 彡
叆	二 厶 爫 冖 𠂇 又
叇	二 厶 5 二 2 冫 ㇒ 4 辶
又	又
叉	又 ㇏
及	及
友	𠂇 又
双	又 又
反	㇒ 3 又
发	6 八 又
叔	2 二 小 又
叕	又 又 又 又
取	耳 又
受	爫 冖 又
变	亠 2 2 八 又
叙	𠆢 于 八 又
叚	5 1 2 二 5 1 又
叛	丷 二 3 ㇒ 3 又
叟	臼 2 又
叠	又 又 又 冖 且
口	口
古	古
句	句
另	口 力
叨	口 刀
叩	口 卩
只	口 八
叫	口 6 2
召	刀 口
叭	口 八
叮	口 丁
可	可
台	厶 口
叱	口 
史	口 乂
右	𠂇 口
叵	匚 口
叶	口 十
号	口 丂
司	5 1 口
叹	口 又
叻	口 力
叼	口 5 1
叽	口 几
吁	口 于
吃	口 𠂉 ㇈
各	各
吆	口 6 厶
合	𠆢 1 口
吉	士 口
吊	口 巾
同	冂 1 口
名	夕 口
后	㇒ 𠂉 口
吏	1 口 乂
吐	口 土
向	3 冂 口
吒	口 ㇒ 七
吓	口 1 卜
吕	口 口
吖	口 丷 2
吗	口 马
君	5 二 3 口
吝	文 口
吞	1 大 口
吟	口 𠆢 ㇏ 5
吠	口 犬
吡	口 比
吣	口 心
否	不 口
吧	口 巴
吨	口 1 6 2 6
吩	口 八 刀
含	𠆢 ㇏ 5 口
听	口 斤
吭	口 亠 几
吮	口 厶 儿
启	户 口
吱	口 十 又
吲	口 5 1 5 2
吴	口 1 大
吵	口 2 八 3
吸	口 及
吹	口 ⺈ 人
吻	口 勿
吼	口 子 6
吽	口 牛
吾	五 口
呀	口 1 6 2 3
呃	口 厂 ⺋
呆	口 木
呇	水 口
呈	口 王
告	 口
呋	口 夫
呐	口 冂 人
呒	口 二 儿
呓	口 艹 ㇈
呔	口 大 ㇏
呕	口 匚 乂
呖	口 厂 力
呗	口 贝
员	口 贝
呙	口 冂 人
呛	口 𠆢 ⺋
呜	口 乌
呢	口 尸 匕
呣	口 母
呤	口 𠆢 ㇏ 龴
呦	口 6 厶 力
周	 土 口
呱	口 ㇒ 3 6 ㇏ ㇏
呲	口  匕
味	口 未
呵	口 可
呶	口 女 又
呷	口 日 2
呸	口 1 亻 4 1
