㑇	亻 ⺈ 彐
泮	氵 丷 𰀁
泯	氵 民
泰	三 人 氺
泱	氵 2 5 大
泳	氵 ㇏ 5 5 ㇒ ㇏
泵	石 水
泷	氵 𠂇  ㇏
泸	氵 2 1 尸
泺	氵 ㇒ 6 小
泻	氵 冖 与
泼	氵 6 八 又
泽	氵 又 𰀁
泾	氵 5 ㇏ 工
洁	氵 士 口
洄	氵 囗 口
洇	氵 囗 大
洈	氵 ⺈ 厂 ⺋
洋	氵 羊
洌	氵 歹 刂
洎	氵 自
洑	氵 亻 犬
洒	氵 西
洓	氵 1 巾 𠆢
洗	氵  儿
洘	氵 十 𠂇 丂
洙	氵 牛 𠆢
洚	氵 夂 1 6 2
洛	氵 各
洞	氵 冂 1 口
洢	氵 亻 5 二 3
洣	氵 米
津	氵 5 三 十
洧	氵 𠂇 
洨	氵 亠 八 乂
洪	氵 艹 1 八
洫	氵 3 皿
洭	氵 匚 王
洮	氵 3 冫 6 ㇒ 4
洱	氵 耳
洲	氵 ㇏ 八 2 ㇏ 2
洳	氵 女 口
洴	氵 丷 1 𠂇 2
洵	氵 3 5 日
洸	氵 ⺌ 1 儿
洹	氵 1 日 1
洺	氵 夕 口
活	氵 千 口
洼	氵 土 土
洽	氵 𠆢 1 口
派	氵 ㇒ 3 ㇒ 戈
洿	氵 大 二 5
流	氵 亠 厶 
浃	氵 1 丷 大
浅	氵 戋
浆	丬 夕 水
浇	氵 1 6 ㇒ 1 儿
浈	氵 2 1 贝
浉	氵 2 3 1 巾
浊	氵 虫
测	氵 贝 刂
浍	氵 𠆢 二 厶
济	氵 文 3 2
浏	氵 文 刂
浐	氵 立 3
浑	氵 冖 车
浒	氵 讠 𠂉 十
浓	氵 冖 3 6 ㇒ ㇏
浔	氵 彐 寸
浕	氵 尸 ㇏ 4 4
浙	氵 扌 斤
浚	氵 厶 八 夂
浛	氵 𠆢 ㇏ 5 口
浜	氵 ㇒ 2 1 2 1 八
浞	氵 足
浟	氵 亻 2 攵
浠	氵 乂 𠂇 巾
浡	氵 十 冖 子
浣	氵 宀 二 儿
浥	氵 口 巴
浦	氵 甫
浩	氵  口
浪	氵 ㇏ 彐 6 ㇒ ㇏
浬	氵 日 
浭	氵 1 日 乂
浮	氵 爫 子
浯	氵 五 口
浰	氵 千 𠆢 刂
浲	氵 夂 丰
浴	氵 谷
海	氵 𠂉 母
浸	氵 彐 冖 又
浼	氵 ⺈ 口 儿
涂	氵 𠆢 于 八
涄	氵 日 2 丂
涅	氵 日 土
消	氵 ⺌ 
涉	氵  2 3 3
涌	氵 龴 
涍	氵 十 𠂇 子
涎	氵 ㇒ 2 1 6 廴
涐	氵 ㇒ 扌 戈
涑	氵 束
涓	氵 口 
涔	氵 山 𠆢 ㇏ 5
涕	氵 弟
涘	氵 厶 𠂉 大
涛	氵 三 3 寸
涝	氵 艹 冖 力
涞	氵 1 米
涟	氵 车 辶
涠	氵 囗 韦
涡	氵 口 冂 人
涢	氵 口 贝
涣	氵 ⺈ 2 5 大
涤	氵 夂 1 小
润	氵 门 王
涧	氵 门 日
涨	氵 5 1 5 长
涩	氵 刀 ㇏ 
涪	氵 立 口
涫	氵 宀 
涮	氵 尸 巾 刂
涯	氵 厂 土 土
液	氵 亠 亻 夕 ㇏
涴	氵 宀 夕 ⺋
涵	氵 5 2 冫 ㇒ 4 6 2
涸	氵 固
涿	氵 1 ㇒ 5 ㇒ ㇒ ㇏ ㇒ ㇏
淀	氵 宀 1 龰
淄	氵 巛 田
淅	氵 木 斤
淆	氵 乂 𠂇 
淇	氵  八
淋	氵 木 木
淌	氵 尚
淏	氵 日 1 大
淑	氵 2 二 小 又
淖	氵 2 1 日 十
淘	氵 3 5 𠂉 1 山
淙	氵 宀 二 小
淜	氵 月 月
淝	氵 月 巴
淞	氵 木 八 厶
淟	氵 2 5 艹 1 八
淠	氵 田 1 3 2
淡	氵 火 火
淤	氵 方 𠆢 4 4
淦	氵 𠆢 干 丷 1
淫	氵 爫 千 1
淬	氵 亠 人 人 十
淮	氵 亻 亠 龶
淯	氵 亠 厶 
深	氵 冖 八 木
淳	氵 亠 口 子
淴	氵 勿 心
混	氵 日 比
淹	氵 大 电
添	氵 1 大 2 ㇏ ㇏ ㇏
淼	水 水 水
清	氵 龶 
渊	氵 3 米 2
渌	氵  氺
渍	氵 龶 贝
渎	氵 十 5 氵 人
渐	氵  斤
渑	氵 口 电
渔	氵 鱼
渗	氵 厶 大 彡
渚	氵 十 𠂇 日
渝	氵 𠆢 1  刂
渟	氵 亠 口 冖 丁
渠	氵 匚 5 1 木
渡	氵 广 廿 又
渣	氵 木 日 1
渤	氵 十 冖 子 力
渥	氵 尸 至
温	氵 日 皿
渫	氵 廿 6 木
渭	氵 田 
港	氵 艹 1 八 巳
渰	氵 𠆢 1 口 𠂇 2
渲	氵 宀 1 日 1
渴	氵 日 3 5 人 6
游	氵 方 𠂉 子
渺	氵 目 2 八 3
渼	氵 丷 王 大
湃	氵 龵 1 丰
湄	氵 尸 2 目
湉	氵 忄 千 口
湍	氵 山 而
湎	氵 1 3 罒 二
湑	氵 5 2 1 3 4 
湓	氵 八 刀 皿
湔	氵 丷 1  刂
湖	氵 古 月
湘	氵 木 目
湛	氵  八 6
湜	氵 日 1 龰
湝	氵 1 6 匕 白
湟	氵 白 王
湣	氵 民 日
湫	氵 千 𠆢 火
湮	氵 覀 土
湲	氵 爫 1 𠂇 又
湴	氵 丷 1 2 ⺌ 1
湾	氵 亠 2 2 八 5 丂
湿	氵 日 2 ⺌ 1
溁	氵 艹 冖 木
溃	氵 口 2 1 贝
溅	氵 贝 戋
溆	氵 𠆢 于 八 又
溇	氵 米 女
溉	氵 彐 6 ㇏ 1 6 儿
溍	氵 1 2 ⺌ 1 日
溏	氵 广 5 𰀁 口
源	氵 厂 白 小
溘	氵 土 厶 皿
溚	氵 艹 𠆢 1 口
溜	氵 ㇒ 6 ㇏ 刀 田
溞	氵 又 ㇏ 虫
溟	氵 冖 日 亠 八
溠	氵 丷 三 3 工
溢	氵 丷 1 八 皿
溥	氵 甫 寸
溦	氵 山 1 几 攵
溧	氵 覀 木
溪	氵 爫 6 厶 大
溯	氵 丷 1 6 2 3 月
溱	氵 三 人 千 𠆢
溲	氵 臼 2 又
溴	氵 自 犬
溵	氵 ㇒ 3 彐 5 殳
溶	氵 宀 谷
溷	氵 囗 豕
溹	氵 十 冖 糸
溺	氵 5 1 5 冫 5 1 5 冫
溻	氵 日 习 习
溽	氵 厂 二 戈 寸
滁	氵 阝 𠆢 于 八
滂	氵 亠 丷 冖 方
滃	氵 八 厶 习 习
滆	氵 1 口 冂 丷 1 2
滇	氵 真
滉	氵 日 ⺌ 1 儿
滋	氵 丷 1 6 厶 6 厶
滍	氵 6 2 2 1 虫
滏	氵 八 乂 干 丷 1
滑	氵 骨
滓	氵 宀 辛
滔	氵 爫 臼
滕	月 丷 夫 氺
滗	氵 𠂉 ㇏ 𠂉 ㇏ 毛
滘	氵 冖 八 工 口
滚	氵 亠 八 厶 3 6 ㇒ ㇏
滞	氵  冖 巾
滟	氵 丰 ⺈ 巴
滠	氵 耳 又 又
满	氵 艹 1 冂 人 人
滢	氵 艹 冖 玉
滤	氵 2 1 5 3 七 心
滥	氵 2 2 𠂉 ㇏ 皿
滦	氵 亠 2 2 八 木
滧	氵 亠 八 乂 攵
滨	氵 宀 ㇒ 2 1 2 1 八
滩	氵 又 亻 亠 龶
滪	氵 予 1 3 贝
滫	氵 亻 2 夂 
滴	氵 亠 丷 冂 古
滹	氵 2 1 5 3 七 ㇒ 丷 1 2
漂	氵 覀 二 小
漆	氵 木 𠆢 氺
漈	氵 夕 4 5 ㇏ 二 小
漉	氵 广 5 2 2 1 比
漋	氵 阝 夂 1 3 龶
漏	氵 尸 1 巾 4 4 4 4
漓	氵 亠 乂 6 2 冂 厶
演	氵 宀 1 日 2 八
漕	氵 1 囗 艹 日
漖	氵 十 𠂇 子 攵
漠	氵 艹 日 大
漤	氵 木 木 女
漦	未 攵 厂 水
漩	氵 方 𠂉 5 龰
漪	氵 犭 大 可
漫	氵 日 罒 又
漭	氵 艹 犬 𠂇 2
漯	氵 田 糸
漱	氵 束 ⺈ 人
漳	氵 立 日 十
漴	氵 山 宀 二 小
漶	氵 口 口 2 心
漷	氵 亠 口 子 阝
漹	氵 1  1 5 灬
漻	氵 习 习 𠆢 彡
漼	氵 山 亻 亠 龶
漾	氵 丷 王 ㇏ 5 5 ㇒ ㇏
潆	氵 艹 冖 糸
潇	氵 艹 5 𰀁 3 2 八
潋	氵 𠆢 1 ㇏ 丷 1 攵
潍	氵 纟 亻 亠 龶
潏	氵 予 3 冂 八 口
潖	氵 王 王 巴
潘	氵 ㇒ 米 田
潜	氵 夫 夫 日
潞	氵  各
潟	氵 臼 3 5 灬
潢	氵 艹 1 1 日 乂
潦	氵 大 丷 日 小
潩	氵 田 艹 1 八
潭	氵 覀 日 十
潮	氵 十 日 十 月
潲	氵 千 𠆢 ⺌ 
潴	氵 犭 十 𠂇 日
潵	氵 艹 1  攵
潸	氵 木 木 
潺	氵 尸 子 子 子
潼	氵 立 日 
潽	氵 丷 1 2 ⺌ 1 日
潾	氵 米 夕 1 6 2
澂	氵 山 1 王 攵
澄	氵 5 ㇏ 3 3 ㇏ 1 口 丷 1
澈	氵 亠 厶  攵
澉	氵 5 耳 攵
澌	氵  八 斤
澍	氵 士 口 丷 1 寸
澎	氵 士 口 丷 1 彡
澛	氵 鱼 日
澜	氵 门 束 丷
澡	氵 口 口 口 木
澥	氵 ⺈ 用 刀 牛
澧	氵 囗 艹 1 口 丷 1
澪	氵  𠆢 ㇏ 龴
澭	氵 亠 6 6 3 亻 亠 龶
澳	氵 3 冂 米 大
澴	氵 罒 1 口 3 6 ㇒ ㇏
澶	氵 亠 囗 口 日 1
澹	氵 ⺈ 厂 八 言
澼	氵 尸 口 辛
澽	氵 2 1 5 3 七 豕
激	氵 白 方 攵
濂	氵 广 丷 1 5 1 艹 八
濉	氵 目 亻 亠 龶
濋	氵 木 木 5 龰
濑	氵 束 ⺈ 贝
濒	氵  2 3 3 1 3 贝
濞	氵 自 田 1 3 2
濠	氵 亠 口 冖 豕
濡	氵  而
濩	氵 艹 亻 亠 龶 又
濮	氵 亻 2 ⺌ 1 丷 1 夫
濯	氵 习 习 亻 亠 龶
瀌	氵 广 5 2 2 1 1 6 匕 灬
瀍	氵 广 日  八 土
瀑	氵 日 艹 1 八 氺
瀔	氵 士 冖 1 千 𠆢 殳
瀚	氵 十 日 十 𠆢 习 习
瀛	氵 亠 6 口 月 女 几 ㇏
瀣	氵 2 1 夕 又  1 2 三 1
瀱	氵 罒 厂 火 火 刂
瀵	氵 米 田 艹 1 八
瀹	氵 𠆢 1 口 口 口 
瀼	氵 亠 口 口 1 艹 1 3 6 ㇒ ㇏
灈	氵 目 目 亻 亠 龶
灌	氵 艹 口 口 亻 亠 龶
灏	氵 日 亠 口 小 1 3 贝
灞	氵  廿 口 十 月
火	火
灭	1 火
灯	火 丁
灰	𠂇 火
灵	彐 火
灶	火 土
灸	3 5 ㇏ 火
灼	火 勺
灾	宀 火
灿	火 山
炀	火 𠃓
炅	日 火
炆	火 文
炉	火 户
炊	火 ⺈ 人
炌	火 介
炎	火 火
炒	火 2 八 3
炔	火 5 大
炕	火 亠 几
炖	火 1 6 2 6
炘	火 斤
炙	夕 4 火
炜	火 韦
炝	火 𠆢 ⺋
炟	火 日 1
炣	火 可
炫	火 亠 6 厶
炬	火 匚 5 1
炭	山 𠂇 火
炮	火 3 5 巳
炯	火 冂 口
炱	厶 口 火
炳	火 1 冂 人
炷	火 亠 土
炸	火 𠂉 2 二
点	卜 口 灬
炻	火 石
炼	火 1 6 5 八
炽	火 口 八
烀	火 ㇒ 丷 1 2
烁	火 ㇒ 6 小
烂	火 丷 1 二
烃	火 5 ㇏ 工
烈	歹 刂 灬
烊	火 羊
烔	火 冂 1 口
烘	火 艹 1 八
烙	火 各
烛	火 虫
烜	火 1 日 1
烝	5 水 1 灬
烟	火 囗 大
烠	火 𠂇 
烤	火 十 𠂇 丂
烦	火 1 3 贝
烧	火 1 6 ㇒ 1 儿
烨	火 亻  十
烩	火 𠆢 二 厶
烫	氵 𠃓 火
烬	火 尸 ㇏ 4 4
热	扌 3 ㇈ ㇏ 灬
烯	火 乂 𠂇 巾
烶	火 千 1 廴
烷	火 宀 二 儿
烹	亠 口 5 2 灬
烺	火 ㇏ 彐 6 ㇒ ㇏
烻	火 ㇒ 2 1 6 廴
烽	火 夂 丰
焆	火 口 
焉	1  1 5 灬
焊	火 日 干
焌	火 厶 八 夂
焐	火 五 口
焓	火 𠆢 ㇏ 5 口
焕	火 ⺈ 2 5 大
焖	火 门 心
焗	火 尸 5 口
焘	三 3 寸 灬
焙	火 立 口
焚	木 木 火
焜	火 日 比
焞	火 亠 口 子
焦	亻 亠 龶 灬
焯	火 2 1 日 十
焰	火 ⺈ 臼
焱	火 火 火
然	夕 4 犬 灬
煁	火  八 6
煃	火 大 土 土
煅	火 ㇒ 2 三 殳
煊	火 宀 1 日 1
煋	火 日 3 龶
煌	火 白 王
煎	丷 1  刂 灬
煓	火 山 而
煜	火 日 立
煞	⺈ 彐 攵 灬
煟	火 田 
煤	火 甘 木
煦	日 句 灬
照	日 刀 口 灬
煨	火 田 1 戈
煮	耂 日 灬
煲	亻 口 木 火
煳	火 古 月
煴	火 日 皿
煸	火 户 
煺	火 彐 6 ㇒ ㇏ 辶
煽	火 户 习 习
熄	火 自 心
熇	火 高
熊	厶  匕 匕 灬
熏	㇒ 1 黑
熔	火 宀 谷
熘	火 ㇒ 6 ㇏ 刀 田
熙	匚 2 口 2 巳 灬
熛	火 覀 二 小
熜	火 3 囗 夂 心
熟	亠 口 子 3 ㇈ ㇏ 灬
熠	火 习 习 白
熥	火 龴  辶
熨	尸 二 小 寸 火
熬	龶 5 3 攵 灬
熵	火 亠 丷 冂 八 口
熹	士 口 丷 1 口 灬
熻	火 𠆢 1 口 习 习
燃	火 夕 4 犬 灬
燊	火 火 火 木
燋	火 亻 亠 龶 灬
燎	火 大 丷 日 小
燏	火 予 3 冂 八 口
燔	火 ㇒ 米 田
燕	廿 口  匕 灬
燚	火 火 火 火
燠	火 3 冂 米 大
燥	火 口 口 口 木
燧	火 丷 豕 辶
燮	言 火 火 又
燹	豕 豕 火
爆	火 日 艹 1 八 氺
爇	艹 土 八 土 3 ㇈ ㇏ 灬
爔	火 丷 王 千 𠆢 1 5 戈
爚	火 𠆢 1 口 口 口 
爝	火 爫 罒 彐 6 ㇏ 寸
爟	火 艹 口 口 亻 亠 龶
爨	㇒ 2 二 冂 1 口 5 二 冖 木 木 大 火
爪	㇒ 3 2 ㇏
爬	㇒ 3 2 ㇏ 巴
爰	爫 1 𠂇 又
爱	爫 冖 𠂇 又
爵	爫 罒 彐 6 ㇏ 寸
父	八 乂
爷	八 乂 
爸	八 乂 巴
爹	八 乂 夕 夕
爻	乂 乂
爽	𠂇 乂 乂 乂 乂 ㇏
爿	6 2 1 3
牁	6 2 1 3 可
牂	6 2 1 3 羊
片	片
版	片 ㇒ 3 又
牌	片 白 3 十
牍	片 十 5 氵 人
牒	片 廿 6 木
牖	片 户 甫
牙	1 6 2 3
牚	 口 1 6 2 3
牛	牛
牝	牜 匕
牟	厶 牛
牡	牜 土
牢	宀 牛
牤	牜 亠 6
牥	牜 方
牦	牜 毛
牧	牜 攵
物	牜 勿
牮	亻 弋 牛
牯	牜 古
牲	牜 3 龶
牵	大 冖 牛
特	牜 土 寸
牺	牜 西
牻	牜 𠂇 6 ㇒ ㇒ ㇒ ㇏
牾	牜 五 口
牿	牜  口
犀	尸 2 冫 ㇒ 4 牛
犁	禾 刂 牛
犄	牜 大 可
犇	牛 牜 牛
犊	牜 十 5 氵 人
犋	牜 且 1 八
犍	牜 5 三 十 廴
犏	牜 户 
犒	牜 高
犟	弓 口 虫 牛
犨	亻 亠 龶 亻 亠 龶 牛
犬	犬
犯	犭 ⺋
犰	犭 3 ㇈
犴	犭 干
状	丬 犬
犷	犭 广
犸	犭 马
犹	犭 尤
狁	犭 厶 儿
狂	犭 王
狃	犭 5 
狄	犭 火
狈	犭 贝
狉	犭 1 亻 4 1
狍	犭 3 5 巳
狎	犭 日 2
狐	犭 ㇒ 3 6 ㇏ ㇏
狒	犭 5 1 5 3 2
狗	犭 句
狙	犭 且
狝	犭 ⺈ 小
狞	犭 宀 丁
狠	犭 彐 6 ㇒ ㇏
狡	犭 亠 八 乂
狨	犭 戈 𠂇
狩	犭 宀 寸
独	犭 虫
狭	犭 1 丷 大
狮	犭 2 3 1 巾
狯	犭 𠆢 二 厶
狰	犭 ⺈ 5 二 2
狱	犭 讠 犬
狲	犭 子 小
狳	犭 𠆢 于 八
狴	犭 1 6 匕 土
狷	犭 口 
狸	犭 日 
狺	犭 言
狻	犭 厶 八 夂
狼	犭 ㇏ 彐 6 ㇒ ㇏
猁	犭 千 𠆢 刂
猃	犭 𠆢 1 ㇏ 丷 1
猄	犭 亠 口 小
猇	犭 2 1 5 3 七 几
猊	犭 臼 儿
猎	犭 艹 1 日
猕	犭 5 1 5 ⺈ 小
猖	犭 日 日
猗	犭 大 可
猛	犭 子 皿
猜	犭 龶 
猝	犭 亠 人 人 十
猞	犭 𠆢 干 口
猡	犭 罒 夕
猢	犭 古 月
猥	犭 田 1 戈
猩	犭 日 3 龶
猪	犭 十 𠂇 日
猫	犭 艹 田
猬	犭 田 
献	十 冂 丷 干 犬
猯	犭 山 而
猰	犭 丰 刀 大
猱	犭 予 3 木
猴	犭 亻 5 1 𠂉 大
猷	丷 西 1 犬
猹	犭 木 日 1
猺	犭 爫 𠂉 1 山
猾	犭 骨
猿	犭 土 口 3 6 ㇒ ㇏
獍	犭 立 日 儿
獐	犭 立 日 十
獒	龶 5 3 攵 犬
獗	犭 厂 丷 1 6 2 3 ⺈ 人
獠	犭 大 丷 日 小
獬	犭 ⺈ 用 刀 牛
獭	犭 束 ⺈ 贝
獯	犭 ㇒ 1 黑
獴	犭 艹 冖 1 豕
獾	犭 艹 口 口 亻 亠 龶
玃	犭 目 目 亻 亠 龶 又
玄	亠 6 厶
率	亠 6 厶 冫 ㇒ 4 十
玉	玉
王	王
玎	王 丁
玑	王 几
玒	王 工
玓	王 勺
玕	王 干
玖	王 3 5 ㇏
玘	王 己
玙	王 与
玚	王 𠃓
玛	王 马
玞	王 夫
玟	王 文
玠	王 介
玡	王 1 6 2 3
玢	王 八 刀
玤	王 丰
玥	王 月
玦	王 5 大
玩	王 二 儿
玫	王 攵
玭	王 比
玮	王 韦
环	王 不
现	王 见
玱	王 𠆢 ⺋
玲	王 𠆢 ㇏ 龴
玳	王 亻 弋
玶	王 1 丷 十
玷	王 2 1 口
玹	王 亠 6 厶
玺	⺈ 小 玉
玻	王 5 3 2 又
玼	王  匕
玿	王 刀 口
珀	王 白
珂	王 可
珅	王 日 2
珇	王 且
珈	王 力 口
珉	王 民
珊	王 册
珋	王 ㇒ 6 3 卩
珌	王 ㇏ 6 ㇏ 八
珍	王 𠆢 彡
珏	王 玉
珐	王 土 厶
珑	王 𠂇  ㇏
珒	王 5 三 十
珕	王 力 力 力
珖	王 ⺌ 1 儿
珙	王 艹 1 八
珛	王 𠂇 
珝	王 习 习
珞	王 各
珠	王 牛 𠆢
珢	王 彐 6 ㇒ ㇏
珣	王 3 5 日
珥	王 耳
珦	王 3 冂 口
珧	王 3 冫 6 ㇒ 4
珩	王 彳 1 丁
珪	王 土 土
珫	王 亠 厶 儿
班	王 王 ㇏ 3
珰	王 ⺌ 彐
珲	王 冖 车
珵	王 口 王
珷	王 1 弋 
珸	王 五 口
珹	王 成
珺	王 5 二 3 口
珽	王 千 1 廴
琀	王 𠆢 ㇏ 5 口
球	王 1 2 冫 ㇒ 4 ㇏
琄	王 口 
琅	王 ㇏ 彐 6 ㇒ ㇏
理	王 日 
琇	王 千 𠆢 5 3
琈	王 爫 子
琉	王 亠 厶 
琊	王 1 6 2 3 阝
琎	王 二 3 2 辶
琏	王 车 辶
琐	王 ⺌ 贝
琔	王 宀 1 龰
琚	王 尸 古
琛	王 冖 八 木
琟	王 亻 亠 龶
琡	王 2 二 小 又
琢	王 1 ㇒ 5 ㇒ ㇒ ㇏ ㇒ ㇏
琤	王 ⺈ 5 二 2
琥	王 2 1 5 3 七 几
琦	王 大 可
琨	王 日 比
琪	王  八
琫	王 三 人 𰀁
琬	王 宀 夕 ⺋
琭	王  氺
琮	王 宀 二 小
琯	王 宀 
琰	王 火 火
琲	王  1 2 三
琳	王 木 木
琴	王 王 𠆢 ㇏ 5
琵	王 王 比
琶	王 王 巴
琼	王 亠 口 小
瑀	王 ㇒ 口 
瑁	王 2 5 二 目
瑂	王 尸 2 目
瑃	王 三 人 日
瑄	王 宀 1 日 1
瑅	王 日 1 龰
瑆	王 日 3 龶
瑑	王 6 5 豕
瑓	王 束 丷
瑔	王 白 水
瑕	王 5 1 2 二 5 1 又
瑖	王 ㇒ 2 三 殳
瑗	王 爫 1 𠂇 又
瑙	王 巛 3 囗 乂
瑚	王 古 月
瑛	王 艹 2 5 大
瑜	王 𠆢 1  刂
瑝	王 白 王
瑞	王 山 而
瑟	王 王 ㇏ 6 ㇏ 八
瑢	王 宀 谷
瑧	王 三 人 千 𠆢
瑨	王 1 2 ⺌ 1 日
瑬	氵 亠 厶  玉
瑭	王 广 5 𰀁 口
瑰	王 鬼
瑱	王 真
瑳	王 丷 三 3 工
瑶	王 爫 𠂉 1 山
瑷	王 爫 冖 𠂇 又
瑾	王 廿 口 龶
璀	王 山 亻 亠 龶
璁	王 3 囗 夂 心
璃	王 亠 乂 6 2 冂 厶
璆	王 习 习 𠆢 彡
璇	王 方 𠂉 5 龰
璈	王 龶 5 3 攵
璋	王 立 日 十
璎	王 贝 贝 女
璐	王  各
璒	王 5 ㇏ 3 3 ㇏ 1 口 丷 1
璘	王 米 夕 1 6 2
璜	王 艹 1 1 日 乂
璞	王 2 ⺌ 1 丷 1 夫
璟	王 日 亠 口 小
璠	王 ㇒ 米 田
璥	王 艹 句 攵
璧	尸 口 辛 玉
璨	王 2 1 夕 又 米
璩	王 2 1 5 3 七 豕
璪	王 口 口 口 木
璬	王 白 方 攵
璮	王 亠 囗 口 日 1
璱	王 王 王 ㇏ 6 ㇏ 八
璲	王 丷 豕 辶
璺	㇒ 2 二 冂 1 口 5 二 冖 玉
瓀	王  而
瓒	王  儿  儿 贝
瓖	王 亠 口 口 1 艹 1 3 6 ㇒ ㇏
瓘	王 艹 口 口 亻 亠 龶
瓜	㇒ 3 6 ㇏ ㇏
瓞	㇒ 3 6 ㇏ ㇏ 3 夫
瓠	大 二 5 ㇒ 3 6 ㇏ ㇏
瓢	覀 二 小 ㇒ 3 6 ㇏ ㇏
瓣	 ㇒ 3 6 ㇏ ㇏ 辛
瓤	亠 口 口 1 艹 1 3 戈 ㇒ 3 6 ㇏ ㇏
瓦	1 6 ㇈ ㇏
瓮	八 厶 1 6 ㇈ ㇏
瓯	匚 乂 1 6 ㇈ ㇏
瓴	𠆢 ㇏ 龴 1 6 ㇈ ㇏
瓶	丷 1 𠂇 2 1 6 ㇈ ㇏
瓷	冫 ⺈ 人 1 6 ㇈ ㇏
瓻	乂 𠂇 巾 1 6 ㇈ ㇏
瓿	立 口 1 6 ㇈ ㇏
甄	覀 土 1 6 ㇈ ㇏
甍	艹 罒 冖 1 6 ㇈ ㇏
甏	士 口 丷 1 ㇒ ㇒ ㇒ 1 6 ㇈ ㇏
甑	丷 囗 ⺌ 日 1 6 ㇈ ㇏
甓	尸 口 辛 1 6 ㇈ ㇏
甗	2 1 5 3 七 1 口 冂 丷 1 2 1 6 ㇈ ㇏
甘	甘
甚	 八 6
甜	千 口 甘
生	3 龶
甡	3 龶 3 龶
甥	3 龶 田 力
甦	1 日 乂 3 龶
用	用
甩	月 6
甪	3 用
甫	甫
甬	龴 
甭	不 用
甯	宀 心 
田	田
由	日 2
甲	日 2
申	日 2
电	电
男	田 力
甸	勹 田
町	田 丁
画	1 田 凵
甾	巛 田
畀	田 1 3 2
畅	日 2 𠃓
畈	田 ㇒ 3 又
畋	田 攵
界	田 介
畎	田 犬
畏	田 1 戈
畔	田 丷 𰀁
畖	田 ㇒ 3 6 ㇏ ㇏
留	㇒ 6 ㇏ 刀 田
畚	厶 大 田
畛	田 𠆢 彡
畜	亠 6 厶 田
畤	田 土 寸
略	田 各
畦	田 土 土
番	㇒ 米 田
畬	𠆢 于 八 田
畯	田 厶 八 夂
畲	𠆢 二 小 田
畴	田 三 3 寸
畸	田 大 可
畹	田 宀 夕 ⺋
畿	6 厶 6 厶 戈 田
疁	田 习 习 𠆢 彡
疃	田 立 日 
疆	弓 土 1 田 1 田 1
疍	5 2 1 3 4 日 1
疏	5  亠 厶 
疐	十 冖 田 5 龰
疑	匕 𠂉 大 龴 5 龰
疔	疒 丁
疖	疒 
疗	疒 5 2
疙	疒 𠂉 ㇈
疚	疒 3 5 ㇏
疝	疒 山
疟	疒 匚 1
疠	疒 1 5 3
疡	疒 𠃓
疢	疒 火
疣	疒 尤
疤	疒 巴
疥	疒 介
疫	疒 殳
疬	疒 厂 力
疭	疒 人 人
疮	疒 𠆢 ⺋
疯	疒  乂
疰	疒 亠 土
疱	疒 3 5 巳
疲	疒 5 3 2 又
疳	疒 甘
疴	疒 可
疵	疒  匕
疸	疒 日 1
疹	疒 𠆢 彡
疼	疒 夂 4 4
疽	疒 且
疾	疒 𠂉 大
痂	疒 力 口
痃	疒 亠 6 厶
痄	疒 𠂉 2 二
病	疒 1 冂 人
症	疒 1 
痈	疒 用
痉	疒 5 ㇏ 工
痊	疒 𠆢 王
痍	疒 1 5 1 5 人
痒	疒 羊
痓	疒 至
痔	疒 土 寸
痕	疒 彐 6 ㇒ ㇏
痘	疒 1 口 丷 1
痛	疒 龴 
痞	疒 1 亻 4 口
痢	疒 千 𠆢 刂
痣	疒 士 心
痤	疒 人 人 土
痦	疒 五 口
痧	疒 氵 2 八 3
痨	疒 艹 冖 力
痪	疒 ⺈ 2 5 大
痫	疒 门 木
痰	疒 火 火
痱	疒  1 2 三
痴	疒 𠂉 大 口
痹	疒 田 1 3 2
痼	疒 固
痿	疒 千 𠆢 女
瘀	疒 方 𠆢 4 4
瘁	疒 亠 人 人 十
瘃	疒 1 ㇒ 5 ㇒ ㇒ ㇏ ㇒ ㇏
瘅	疒 丷 日 十
瘆	疒 厶 大 彡
瘊	疒 亻 5 1 𠂉 大
瘌	疒 束 刂
瘐	疒 臼 人
瘕	疒 5 1 2 二 5 1 又
瘗	疒 1 丷 大 土
瘘	疒 米 女
瘙	疒 又 ㇏ 虫
瘛	疒 丰 刀 心
瘟	疒 日 皿
瘠	疒 冫 ㇒ 4 人 
瘢	疒 舟 殳
瘤	疒 ㇒ 6 ㇏ 刀 田
瘥	疒 丷 三 3 工
瘦	疒 臼 2 又
瘩	疒 艹 𠆢 1 口
瘪	疒 自 𠆢 匕
瘫	疒 又 亻 亠 龶
瘭	疒 覀 二 小
瘰	疒 田 糸
瘳	疒 习 习 𠆢 彡
瘴	疒 立 日 十
瘵	疒 夕 4 5 ㇏ 二 小
瘸	疒 力 口 冂 人 人
瘼	疒 艹 日 大
瘾	疒 阝 ⺈ 彐 心
瘿	疒 贝 贝 女
癀	疒 艹 1 1 日 乂
癃	疒 阝 夂 1 3 龶
癌	疒 口 口 口 山
癍	疒 王 王 文
癔	疒 立 日 心
癖	疒 尸 口 辛
癗	疒  田
癜	疒 尸 艹 1 八 殳
癞	疒 束 ⺈ 贝
癣	疒 鱼 羊
癫	疒 真 1 3 贝
癯	疒 目 目 亻 亠 龶
癸	5 ㇏ 3 3 ㇏ 1 大
