词	当前码	建议码	SUBTLEX拼音	SUBTLEX词频	处理建议
长子	ihzi	vhzi	zhang3 zi3	60	第一批；应用前抽查并按基础词表原顺序重排新码位候选
情调	qktn	qkdn	qing2 diao4	59	第一批；应用前抽查并按基础词表原顺序重排新码位候选
乐谱	lepu	ytpu	yue4 pu3	58	第一批；应用前抽查并按基础词表原顺序重排新码位候选
浅薄	qmbc	qmbo	qian3 bo2	58	第一批；应用前抽查并按基础词表原顺序重排新码位候选
率领	lvlk	uklk	shuai4 ling3	58	第一批；应用前抽查并按基础词表原顺序重排新码位候选
声乐	ugle	ugyt	sheng1 yue4	57	第一批；应用前抽查并按基础词表原顺序重排新码位候选
着实	veui	voui	zhuo2 shi2	56	第一批；应用前抽查并按基础词表原顺序重排新码位候选
盛会	ighv	ughv	sheng4 hui4	55	第一批；应用前抽查并按基础词表原顺序重排新码位候选
弹弓	tjgs	djgs	dan4 gong1	53	第一批；应用前抽查并按基础词表原顺序重排新码位候选
盛开	igkd	ugkd	sheng4 kai1	53	第一批；应用前抽查并按基础词表原顺序重排新码位候选
献血	xmxp	xmxt	xian4 xue4	52	第一批；应用前抽查并按基础词表原顺序重排新码位候选
扒手	bauz	pauz	pa2 shou3	51	第一批；应用前抽查并按基础词表原顺序重排新码位候选
血浆	xpjl	xtjl	xue4 jiang1	51	第一批；应用前抽查并按基础词表原顺序重排新码位候选
重叠	vsdp	isdp	chong2 die2	51	第一批；应用前抽查并按基础词表原顺序重排新码位候选
调换	tnhr	dnhr	diao4 huan4	50	第一批；应用前抽查并按基础词表原顺序重排新码位候选
着凉	vell	vcll	zhao2 liang2	49	第一批；应用前抽查并按基础词表原顺序重排新码位候选
团长	trih	trvh	tuan2 zhang3	47	第一批；应用前抽查并按基础词表原顺序重排新码位候选
校准	xnvy	jnvy	jiao4 zhun3	46	第一批；应用前抽查并按基础词表原顺序重排新码位候选
乐曲	lequ	ytqu	yue4 qu3	45	第一批；应用前抽查并按基础词表原顺序重排新码位候选
抽血	izxp	izxt	chou1 xue4	45	第一批；应用前抽查并按基础词表原顺序重排新码位候选
曲调	qutn	qudn	qu3 diao4	44	第一批；应用前抽查并按基础词表原顺序重排新码位候选
直率	vilv	viuk	zhi2 shuai4	44	第一批；应用前抽查并按基础词表原顺序重排新码位候选
披露	pilz	pilu	pi1 lu4	43	第一批；应用前抽查并按基础词表原顺序重排新码位候选
分行	ffxk	ffhh	fen1 hang2	42	第一批；应用前抽查并按基础词表原顺序重排新码位候选
