单字,字频序,相撞码,不让位表候选,综合表候选,综合表首选,二字词最高序,二字词,四字简词最高序,四字简词,处理动作,状态,裁决备注
婍,4472,qimn,1,2,奇妙,3269,奇妙,,,word_first,按发布候选顺序落实,
婻,4483,njmb,1,2,难民,5063,难民,,,word_first,按发布候选顺序落实,
媂,4486,dimg,2,2,谛,40274,缔盟,,,retain_single,按发布候选顺序落实,
媸,4497,iimw,1,1,媸,57822,赤眉,,,retain_single,按发布候选顺序落实,
嫄,4499,yrmf,1,2,远门,9743,远门 院门,,,word_first,按发布候选顺序落实,
嫣,4508,yjmw,1,2,淹没,5156,淹没 眼眉 湮没,,,word_first,按发布候选顺序落实,
嫪,4510,lcmk,1,1,嫪,36975,老命,,,retain_single,按发布候选顺序落实,
嬖,4516,bitm,1,1,嬖,56729,碧天,,,retain_single,按发布候选顺序落实,
嬷,4522,momk,1,2,莫名,3905,莫名,,,word_first,按发布候选顺序落实,
嬿,4523,yjmw,2,3,淹没,5156,淹没 眼眉 湮没,,,word_first,按发布候选顺序落实,
孑,4526,jpxx,1,1,孑,35039,接下 解下,,,retain_single,按发布候选顺序落实,
孖,4528,zixx,1,1,孖,19868,紫霞,,,retain_single,按发布候选顺序落实,
孢,4530,bcxt,1,2,暴雪,16016,暴雪 饱学,,,word_first,按发布候选顺序落实,
孺,4536,ruxl,1,2,乳香,27307,乳香 如想,,,word_first,按发布候选顺序落实,
宓,4538,fusv,1,1,宓,36979,附随,,,retain_single,按发布候选顺序落实,
宥,4541,yzsr,1,2,油酸,28512,油酸,,,word_first,按发布候选顺序落实,
寤,4546,wusj,1,1,寤,45452,五三,,,retain_single,按发布候选顺序落实,
屉,4557,titz,1,2,剃头,12026,剃头 剔透,,,word_first,按发布候选顺序落实,
屣,4560,xitd,1,2,戏台,19562,戏台,,,word_first,按发布候选顺序落实,
屹,4562,yiuz,1,2,一手,3462,一手 易手,,,word_first,按发布候选顺序落实,
屾,4565,ufuu,1,1,屾,56679,申述,7077,顺风顺水,retain_single,按发布候选顺序落实,
岊,4567,jptu,1,2,截图,7439,截图,,,word_first,按发布候选顺序落实,
岖,4570,quue,1,2,取舍,12534,取舍,,,word_first,按发布候选顺序落实,
岬,4581,jxua,1,2,袈裟,21640,袈裟 加沙,,,word_first,按发布候选顺序落实,
峁,4586,mcui,1,2,冒失,17615,冒失 毛事,,,word_first,按发布候选顺序落实,
峒,4591,dsuj,1,2,东山,16062,东山,39,第三世界,word_first,按发布候选顺序落实,
峣,4598,ycuh,1,1,峣,40764,咬伤,,,retain_single,按发布候选顺序落实,
峧,4603,jnue,1,2,交涉,11415,交涉 嚼舌,,,word_first,按发布候选顺序落实,
峿,4605,wuuj,1,1,峿,39009,误删 巫山,,,retain_single,按发布候选顺序落实,
崂,4608,lcuk,1,2,老帅,15245,老帅,,,word_first,按发布候选顺序落实,
崡,4617,hjul,1,1,崡,34807,寒霜,,,retain_single,按发布候选顺序落实,
崦,4619,yjua,1,1,崦,59600,掩杀,,,retain_single,按发布候选顺序落实,
崽,4624,zduv,1,1,崽,54427,再睡,,,retain_single,按发布候选顺序落实,
崿,4626,eeuz,1,1,崿,31123,扼守 饿瘦,,,retain_single,按发布候选顺序落实,
嵁,4627,kjuz,1,2,看守,7252,看守,,,word_first,按发布候选顺序落实,
嵅,4628,hjuj,1,2,汗衫,20787,汗衫,,,word_first,按发布候选顺序落实,
嵇,4629,jicu,1,2,急促,12794,急促,,,word_first,按发布候选顺序落实,
嵊,4630,ugug,1,2,生生,10798,生生 省省,,,word_first,按发布候选顺序落实,
