词	码	词位	码位词数	一简字	拆开输入	键数	当量	低于1.4	08排名	虎码	同码其他词
染发	rjfa	1	1	发	rja␣f␣	6	1.24	是	13358	495	
没门	mwmf	1	2	没	m␣mfn␣	6	1.24	是	13696	285	每门
故人	gurf	2	2	人	guc␣r␣	6	1.24	是	15047	1267	古人
不屈	buqu	2	2	不	b␣qub␣	6	1.24	是	18601	913	不去
生发	ugfa	1	2	发	ugm␣f␣	6	1.24	是	18973	632	施工方案
不巧	buqn	1	1	不	b␣qnt␣	6	1.24	是	20066	636	
单个	djge	2	2	个	djq␣g␣	6	1.24	是	20166	727	耽搁
不孝	buxn	1	3	不	b␣xnn␣	6	1.24	是	23700	720	不肖、背上行囊
喜人	xirf	1	2	人	xiq␣r␣	6	1.24	是	23721	288	袭人
细看	xikj	1	1	看	xii␣k␣	6	1.24	是	23881	1543	
吃紧	iijb	1	1	吃	i␣jbl␣	6	1.24	是	24669	253	
谦和	qmhe	1	1	和	qmf␣h␣	6	1.24	是	24710	486	
缘起	yrqi	3	3	起	yri␣q␣	6	1.24	是	25000	626	元气、怨气
土人	turf	1	1	人	tuq␣r␣	6	1.24	是	25689	358	
在读	zddu	2	3	在	z␣duf␣	6	1.24	是	32752	731	再度、坐到地上
小额	xnee	1	1	小	x␣eej␣	6	1.24	是	33739	501	
才情	cdqk	1	1	才	c␣qkv␣	6	1.24	是	35018	401	
发狠	fahf	1	1	发	f␣hfo␣	6	1.24	是	42741	412	
这款	vekr	1	1	这	v␣krq␣	6	1.24	是	43098	3723	
这款	vwkr	1	1	这	v␣krq␣	6	1.24	是	43098	3723	
看相	kjxl	2	3	看	k␣xlw␣	6	1.24	是	44594	336	看向、恐惧心理
直拍	vipd	3	3	拍	vic␣p␣	6	1.24	是	46488	322	指派、纸牌
你丫	niya	1	1	你	n␣yal␣	6	1.24	是	47382	415	
有劳	yzlc	1	2	有	y␣lcm␣	6	1.24	是	47464	505	忧劳
屈才	qucd	2	2	才	qub␣c␣	6	1.24	是	51115	220	取材
这份	veff	1	1	这	v␣ffk␣	6	1.24	是	52701	4120	
不累	bulw	1	2	不	b␣lwp␣	6	1.24	是	54876	966	博士论文
小布	xnbu	2	2	小	x␣buc␣	6	1.24	是	61598	383	小步
所幸	soxk	2	2	所	s␣xkq␣	6	1.24	是	61838	876	索性
吃土	iitu	1	2	吃	i␣tuq␣	6	1.24	是	64734	62	赤兔
发绿	falv	2	2	发	f␣lvi␣	6	1.24	是	67214	255	法律
发窘	fajs	1	1	发	f␣jsj␣	6	1.24	是	71195	210	
须发	xufa	1	2	发	xuf␣f␣	6	1.24	是	76280	388	蓄发
所向	soxl	2	2	所	s␣xlf␣	6	1.24	是	85323	453	所想
发炮	fapc	2	2	发	f␣pcp␣	6	1.24	是	94920	272	发泡
填发	tmfa	1	1	发	tmq␣f␣	6	1.24	是	98506	0	
起效	qixn	2	2	起	q␣xne␣	6	1.24	是	113875	63	奇效
拍门	pdmf	1	2	拍	p␣mfn␣	6	1.24	是	120779	277	碰到麻烦
我傻	woua	1	1	我	w␣uak␣	6	1.24	是	123332	59	
不变	bubm	1	3	不	b␣bmt␣	6	1.24	是	124262	2740	不便、不生不灭
这股	vegu	1	2	这	v␣guz␣	6	1.24	是	125166	1413	鹧鸪
单发	djfa	1	1	发	djq␣f␣	6	1.24	是	129937	377	
发单	fadj	2	2	发	f␣djq␣	6	1.24	是	130867	246	罚单
发蒙	famg	1	1	发	f␣mgm␣	6	1.24	是	143838	272	
