根	音节	字对	位置	首末同时	权重	字1分读音频次	字2分读音频次	字1整字频次排名	字2整字频次排名	字1待分配	字2待分配
艹	bo	菠—鹁	首根	False	0	200	0	2854	7845	0	0
艹	bo	蕃—鹁	首根	False	0	0	0	3712	7845	48	0
艹	bo	薄—鹁	首根	False	0	967	0	1628	7845	191	0
艹	bu	布—蔀	首根	False	0	15653	0	383	7184	2601	0
艹	chi	翅—茌	首根	False	0	597	0	2266	7092	0	0
艹	di	茋—觌	首根	False	0	0	0	7091	7327	0	0
艹	di	荻—觌	首根	False	0	11	0	4226	7327	5	0
艹	di	菂—觌	首根	False	0	0	0	7129	7327	0	0
艹	di	蒂—觌	首根	False	0	6431	0	769	7327	1296	0
艹	han	翰—菡	首根	False	0	2449	0	1184	4752	966	4
艹	han	翰—蔊	首根	False	0	2449	0	1184	7187	966	0
艹	han	菡—韩	首根	False	0	0	1491	4752	1651	4	120
艹	han	蔊—韩	首根	False	0	0	1491	7187	1651	0	120
艹	hong	翃—荭	首根	False	0	0	0	6954	7116	0	0
艹	hong	翃—蕻	首根	False	0	0	0	6954	7202	0	0
艹	hong	翃—薨	首根	False	0	0	0	6954	7208	0	0
艹	hui	卉—蕙	首根	False	0	22	0	4057	7195	1	0
艹	hui	灰—蕙	首根	False	0	2115	0	1467	7195	25	0
艹	ji	戟—芨	首根	False	0	29	0	3952	7067	0	0
艹	ji	戟—芰	首根	False	0	29	0	3952	7070	0	0
艹	ji	戟—蒺	首根	False	0	29	0	3952	7172	0	0
艹	ji	戟—蕺	首根	False	0	29	0	3952	7201	0	0
艹	ji	芨—赍	首根	False	0	0	0	7067	7392	0	0
艹	ji	芰—赍	首根	False	0	0	0	7070	7392	0	0
艹	ji	荠—赍	首根	False	0	3	0	4680	7392	2	0
艹	ji	蒺—赍	首根	False	0	0	0	7172	7392	0	0
艹	ji	蓟—赍	首根	False	0	33	0	3888	7392	0	0
艹	ji	蕺—赍	首根	False	0	0	0	7201	7392	0	0
艹	ji	藉—赍	首根	False	0	98	0	2685	7392	127	0
艹	kui	盔—蒉	首根	False	0	517	0	2346	7162	0	0
艹	kui	葵—𫠆	首根	False	0	212	0	2834	7995	0	0
艹	kui	蒉—𫠆	首根	True	0	0	0	7162	7995	0	0
艹	liao	尥—蓼	首根	False	0	0	16	5754	4228	0	0
艹	mai	卖—荬	首根	True	0	10957	0	606	7115	36	0
艹	mang	尨—芒	首根	False	0	0	466	5755	2371	0	25
艹	mang	尨—茫	首根	False	0	0	470	5755	2398	0	1
艹	mang	尨—莽	首根	False	0	0	280	5755	2705	0	0
艹	na	南—𦰡	首根	False	0	0	0	872	7931	1153	0
艹	nan	南—萳	首根	True	0	5123	0	872	5178	1153	1
艹	qi	䓫—𨙸	首根	False	0	0	0	5345	7934	0	0
艹	qi	芑—𨙸	首根	False	0	0	0	7059	7934	0	0
艹	qi	芪—𨙸	首根	False	0	0	0	7069	7934	0	0
艹	qi	荠—𨙸	首根	False	0	0	0	4680	7934	2	0
艹	qi	萁—𨙸	首根	False	0	1	0	5176	7934	0	0
艹	qi	萋—𨙸	首根	False	0	0	0	7141	7934	0	0
艹	qi	葺—𨙸	首根	False	0	10	0	4420	7934	0	0
艹	qi	蕲—𨙸	首根	False	0	0	0	7199	7934	0	0
