root	from	to	hard1500x10000	hard3500x2000	full1500	full3500	full6000	short1500	short3500	three1500	three3500
鬲	y	j	0	5	0	21	193	0	3	1339	2637
鬲	y	l	0	5	0	21	193	0	3	1339	2637
鬲	y	p	0	5	0	21	193	0	3	1339	2637
鬲	y	t	0	5	0	21	193	0	3	1339	2637
骨	z	a	0	5	0	21	193	0	3	1339	2637
骨	z	b	0	5	0	21	193	0	3	1339	2637
骨	z	h	0	5	0	21	193	0	3	1339	2637
骨	z	k	0	5	0	21	193	0	3	1339	2637
骨	z	m	0	5	0	21	193	0	3	1339	2637
骨	z	u	0	5	0	21	193	0	3	1339	2637
乐	y	a	0	5	0	21	193	0	3	1339	2637
乐	y	f	0	5	0	21	193	0	3	1339	2637
乐	y	o	0	5	0	21	193	0	3	1339	2637
乐	y	x	0	5	0	21	193	0	3	1339	2637
丘	y	b	0	5	0	21	193	0	3	1339	2637
长	j	f	0	5	0	21	193	0	3	1339	2637
长	j	h	0	5	0	21	193	0	3	1339	2637
长	j	p	0	5	0	21	193	0	3	1339	2637
永	o	f	0	5	0	21	193	0	3	1339	2637
永	o	j	0	5	0	21	193	0	3	1339	2637
永	o	k	0	5	0	21	193	0	3	1339	2637
永	o	t	0	5	0	21	193	0	3	1339	2637
永	o	v	0	5	0	21	193	0	3	1339	2637
九	p	c	0	5	0	21	193	0	3	1339	2637
九	p	w	0	5	0	21	193	0	3	1339	2637
母	l	k	0	5	0	21	194	0	3	1339	2637
禸	n	f	0	5	0	21	194	0	3	1339	2637
禸	n	p	0	5	0	21	194	0	3	1339	2637
禸	n	s	0	5	0	21	194	0	3	1339	2637
厉	a	y	0	5	0	21	194	0	3	1339	2637
殳	w	k	0	5	0	21	194	0	3	1339	2637
丽	o	h	0	5	0	21	194	0	3	1339	2637
来	k	t	0	5	0	21	194	0	3	1339	2637
及	m	h	0	5	0	21	194	0	3	1339	2637
甫	g	h	0	5	0	21	194	0	3	1339	2637
甫	g	n	0	5	0	21	194	0	3	1339	2637
乃	r	p	0	5	0	21	194	0	3	1339	2637
毛	v	f	0	5	0	21	194	0	3	1339	2637
瓦	g	j	0	5	0	21	194	0	3	1339	2637
鬲	y	n	0	5	0	21	194	0	3	1339	2637
九	p	s	0	5	0	21	194	0	3	1339	2637
囗	l	a	0	5	0	21	195	0	3	1339	2637
禸	n	t	0	5	0	21	195	0	3	1339	2637
瓦	g	s	0	5	0	21	195	0	3	1339	2637
骨	z	q	0	5	0	21	196	0	3	1339	2637
骨	z	s	0	5	0	21	196	0	3	1339	2637
豕	d	c	0	5	0	21	198	0	3	1339	2637
尸	c	i	0	5	0	21	189	0	3	1339	2636
鬼	t	d	0	5	0	21	190	0	3	1339	2636
鬼	t	w	0	5	0	21	190	0	3	1339	2636
鬼	t	c	0	5	0	21	191	0	3	1339	2636
鬼	t	e	0	5	0	21	191	0	3	1339	2636
鬼	t	i	0	5	0	21	191	0	3	1339	2636
鬼	t	k	0	5	0	21	191	0	3	1339	2636
