moves	hard_old	hard_new	full1500	full3500	full6000	short1500	short3500	three1500	three3500	score
亻:e>o 巾:a>x 月:w>v 田:o>n 艹:f>b	1	0	1	50	303	0	14	1315	2559	4032465
亻:e>o 巾:a>q 月:w>v 田:o>n 艹:f>b	1	0	1	50	296	0	14	1315	2556	4032340
亻:e>o 巾:a>o 月:w>v 田:o>n 艹:f>b	1	0	1	50	300	0	15	1315	2554	4033630
土:r>m 巾:a>r 月:w>t 田:o>n 艹:f>n	1	0	1	51	280	0	15	1336	2584	4033740
土:r>m 巾:a>r 月:w>v 田:o>n 艹:f>n	1	0	1	51	271	0	17	1338	2581	4035895
土:r>m 巾:a>q 月:w>t 田:o>n 艹:f>n	1	0	1	52	276	0	15	1336	2584	4035160
土:r>m 巾:a>q 月:w>v 田:o>n 艹:f>n	1	0	1	52	266	0	17	1338	2581	4037295
土:r>m 巾:a>x 月:w>t 田:o>n 艹:f>n	1	0	1	53	282	0	15	1336	2587	4036765
土:r>m 巾:a>x 月:w>v 田:o>n 艹:f>n	1	0	1	53	272	0	17	1338	2584	4038900
土:r>m 巾:a>o 月:w>t 田:o>n 艹:f>n	1	0	1	53	281	0	17	1336	2586	4039150
土:r>m 巾:a>o 月:w>v 田:o>n 艹:f>n	1	0	1	53	271	0	19	1338	2583	4041285
亻:e>o 忄:p>q 月:w>v 木:s>a 艹:f>e	1	0	1	54	266	0	15	1315	2551	4038965
亻:e>o 巾:a>r 月:w>v 田:o>n 艹:f>s	1	0	1	54	292	0	16	1315	2547	4040705
亻:e>o 巾:a>x 月:w>v 田:o>n 艹:f>s	1	0	1	55	292	0	16	1315	2551	4042185
亻:e>o 巾:a>q 月:w>v 田:o>n 艹:f>s	1	0	1	55	285	0	16	1315	2548	4042060
亻:e>o 巾:a>o 月:w>v 田:o>n 艹:f>s	1	0	1	55	289	0	17	1315	2546	4043350
土:r>m 忄:p>q 月:w>t 田:o>n 艹:f>n	1	0	1	56	284	0	16	1337	2582	4042490
亻:e>o 忄:p>q 月:w>v 田:o>n 艹:f>s	1	0	1	57	291	0	16	1316	2546	4045150
土:r>m 忄:p>q 月:w>v 田:o>n 艹:f>n	1	0	1	57	275	0	18	1339	2579	4046145
亻:e>o 忄:p>q 月:w>v 木:s>a 艹:f>p	1	0	1	57	274	0	18	1310	2548	4047440
土:r>q 忄:p>w 月:w>t 田:o>n 艹:f>p	1	1	0	38	241	0	8	1337	2616	2504860
土:r>q 忄:p>h 月:w>t 田:o>s 艹:f>p	1	1	0	38	228	0	9	1336	2620	2505820
土:r>v 忄:p>q 月:w>t 田:o>s 艹:f>p	1	1	0	39	229	0	8	1337	2623	2506085
