root	from	to	contribution	hard	full1500	full3500	full6000	short1500	short3500	three1500	three3500	soft	pinky	left	peak	peak_key
井	b	a	0.086089975993972	0	0	21	192	0	3	1339	2637	70.1750000000003	10.54631266047843	54.38948424916521	8.098482622851263	l
乐	y	c	0.03598587280730144	0	0	21	192	0	3	1339	2637	70.1750000000003	10.460222684484457	54.4254701219725	8.098482622851263	l
乐	y	b	0.03598587280730144	0	0	21	192	0	3	1339	2637	70.1750000000003	10.460222684484457	54.42547012197251	8.098482622851263	l
民	n	m	0.04465562779266337	0	0	21	192	0	3	1339	2637	70.18000000000029	10.460222684484457	54.38948424916521	8.098482622851263	l
民	n	b	0.04465562779266337	0	0	21	192	0	3	1339	2637	70.1800000000003	10.460222684484457	54.434139876957865	8.098482622851263	l
厉	a	w	0.004835587592894463	0	0	21	192	0	3	1339	2637	70.1850000000003	10.455387096891563	54.38948424916521	8.098482622851263	l
乐	y	h	0.03598587280730144	0	0	21	192	0	3	1339	2637	70.1850000000003	10.460222684484457	54.38948424916521	8.098482622851263	l
鬼	t	p	0.027571504262519655	0	0	21	192	0	3	1339	2637	70.1900000000003	10.487794188746978	54.36191274490268	8.098482622851263	l
永	o	y	0.022675817577901713	0	0	21	192	0	3	1339	2637	70.1900000000003	10.460222684484457	54.38948424916521	8.098482622851263	l
之	t	g	0.24764648655425583	0	0	21	192	0	3	1339	2637	70.1900000000003	10.460222684484457	54.38948424916521	8.098482622851263	l
夷	e	z	0.003385377276311344	0	0	21	192	0	3	1339	2637	70.1900000000003	10.46360806176077	54.38948424916521	8.098482622851263	l
瓦	g	a	0.032557131389254944	0	0	21	192	0	3	1339	2637	70.1900000000003	10.492779815873712	54.38948424916521	8.098482622851263	l
乐	y	p	0.03598587280730144	0	0	21	192	0	3	1339	2637	70.1900000000003	10.496208557291759	54.38948424916521	8.098482622851263	l
