root	from	to	contribution	hard	full1500	full3500	full6000	short1500	short3500	three1500	three3500	soft	pinky	left	peak	peak_key
永	o	a	0.022675817577901713	0	0	21	193	0	3	1339	2636	70.01000000000022	11.34673921135299	55.27600077603374	8.098482622851263	l
乐	y	d	0.03598587280730144	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.28931083126314	8.098482622851263	l
乐	y	g	0.03598587280730144	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.28931083126314	8.098482622851263	l
乐	y	v	0.03598587280730144	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.28931083126314	8.098482622851263	l
乐	y	w	0.03598587280730144	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.28931083126314	8.098482622851263	l
乐	y	q	0.03598587280730144	0	0	21	193	0	3	1339	2636	70.01000000000022	11.36004926658239	55.28931083126314	8.098482622851263	l
象	k	g	0.07319918678057127	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.326524145236405	8.098482622851263	l
专	n	f	0.07592367232932232	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.32924863078516	8.098482622851263	l
专	n	v	0.07592367232932232	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.32924863078516	8.098482622851263	l
专	n	a	0.07592367232932232	0	0	21	193	0	3	1339	2636	70.01000000000022	11.39998706610441	55.32924863078516	8.098482622851263	l
来	k	g	0.48834023588883585	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.74166519434467	8.098482622851263	l
来	k	s	0.48834023588883585	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.74166519434467	8.098482622851263	l
来	k	w	0.48834023588883585	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.74166519434467	8.098482622851263	l
来	k	a	0.48834023588883585	0	0	21	193	0	3	1339	2636	70.01000000000022	11.812403629663924	55.74166519434467	8.098482622851263	l
来	k	q	0.48834023588883585	0	0	21	193	0	3	1339	2636	70.01000000000022	11.812403629663924	55.74166519434467	8.098482622851263	l
专	n	l	0.07592367232932232	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.174406295180585	l
来	k	l	0.48834023588883585	0	0	21	193	0	3	1339	2636	70.01000000000022	11.324063393775088	55.253324958455835	8.5868228587401	l
永	o	h	0.022675817577901713	0	0	21	193	0	3	1339	2636	70.02000000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
井	b	a	0.086089975993972	0	0	21	193	0	3	1339	2636	70.02000000000022	11.410153369769061	55.253324958455835	8.098482622851263	l
乐	y	b	0.03598587280730144	0	0	21	193	0	3	1339	2636	70.02000000000022	11.324063393775088	55.28931083126314	8.098482622851263	l
乐	y	c	0.03598587280730144	0	0	21	193	0	3	1339	2636	70.02000000000022	11.324063393775088	55.28931083126314	8.098482622851263	l
民	n	b	0.04465562779266337	0	0	21	193	0	3	1339	2636	70.02500000000022	11.324063393775088	55.2979805862485	8.098482622851263	l
民	n	m	0.04465562779266337	0	0	21	193	0	3	1339	2636	70.02500000000023	11.324063393775088	55.253324958455835	8.098482622851263	l
厉	a	w	0.004835587592894463	0	0	21	193	0	3	1339	2636	70.03000000000021	11.319227806182194	55.253324958455835	8.098482622851263	l
乐	y	h	0.03598587280730144	0	0	21	193	0	3	1339	2636	70.03000000000023	11.324063393775088	55.253324958455835	8.098482622851263	l
鬼	t	p	0.027571504262519655	0	0	21	193	0	3	1339	2636	70.03500000000022	11.351634898037608	55.22575345419332	8.098482622851263	l
莫	b	e	0.05458694817258361	0	0	21	193	0	3	1339	2636	70.03500000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
永	o	y	0.022675817577901713	0	0	21	193	0	3	1339	2636	70.03500000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
之	t	g	0.24764648655425583	0	0	21	193	0	3	1339	2636	70.03500000000022	11.324063393775088	55.253324958455835	8.098482622851263	l
