word	code	source	thuocl_df	xinhua	keep_reason	corpus_source_count	corpus_total_count	idiom_dual	ime_dual
拖拉机厂	tlji	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq	2	203	0	0
柔情蜜意	rqmy	简单鹤	170	1	真实语料:literature_word_freq,news_total_word_freq;成语双源;输入法双源	2	202	1	1
郁郁不乐	yybl	THUOCL+新华补充	25	1	真实语料:literature_word_freq,news_total_word_freq;成语双源;输入法双源	2	202	1	1
扑通扑通	ptpt	简单鹤		0	真实语料:literature_word_freq,news_total_word_freq	2	202	0	0
有权有势	yqyu	简单鹤		0	真实语料:literature_word_freq,news_total_word_freq;输入法双源	2	202	0	1
广开才路	gkcl	简单鹤		1	真实语料:multi_domain_total_word_freq,news_total_word_freq;输入法双源	2	201	0	1
货比三家	hbsj	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq;输入法双源	2	201	0	1
忽隐忽现	hyhx	简单鹤		0	真实语料:literature_word_freq,news_total_word_freq	2	201	0	0
卡托维兹	ktwz	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq	2	201	0	0
捉摸不透	vmbt	简单鹤		0	真实语料:literature_word_freq,news_total_word_freq	2	201	0	0
排难解忧	pnjy	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq	2	200	0	0
血红蛋白	xhdb	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq;输入法双源	2	200	0	1
峰峰矿区	ffkq	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq	2	199	0	0
明里暗里	mlal	简单鹤		0	真实语料:literature_word_freq,news_total_word_freq	2	199	0	0
烟波浩淼	ybhm	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq	2	199	0	0
旁敲侧击	pqcj	简单鹤	713	1	真实语料:literature_word_freq,news_total_word_freq;成语双源;输入法双源	2	198	1	1
不耻下问	bixw	简单鹤	174	1	真实语料:literature_word_freq,news_total_word_freq;成语双源;输入法双源	2	198	1	1
注音符号	vyfh	简单鹤		0	真实语料:literature_word_freq,news_total_word_freq	2	198	0	0
新加坡元	xjpy	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq	2	198	0	0
四体不勤	stbq	简单鹤	116	1	真实语料:multi_domain_total_word_freq,news_total_word_freq;成语双源;输入法双源	2	196	1	1
奇奇怪怪	qqgg	简单鹤		0	真实语料:literature_word_freq,news_total_word_freq	2	196	0	0
行尸走肉	xuzr	简单鹤	571	1	真实语料:literature_word_freq,news_total_word_freq;成语双源;输入法双源	2	195	1	1
金丝小枣	jsxz	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq	2	195	0	0
任其自流	rqzl	简单鹤		1	真实语料:multi_domain_total_word_freq,news_total_word_freq;输入法双源	2	195	0	1
好说歹说	hudu	简单鹤	780	1	真实语料:literature_word_freq,news_total_word_freq;成语双源;输入法双源	2	194	1	1
反戈一击	fgyj	简单鹤	359	1	真实语料:literature_word_freq,news_total_word_freq;成语双源;输入法双源	2	194	1	1
鸣冤叫屈	myjq	简单鹤	222	1	真实语料:literature_word_freq,news_total_word_freq;成语双源;输入法双源	2	194	1	1
好心好意	hxhy	THUOCL+新华补充	123	1	真实语料:literature_word_freq,news_total_word_freq;成语双源;输入法双源	2	194	1	1
瓮声瓮气	wuwq	简单鹤	33	1	真实语料:literature_word_freq,news_total_word_freq;成语双源;输入法双源	2	194	1	1
新几内亚	xjny	简单鹤		0	真实语料:literature_word_freq,news_total_word_freq	2	194	0	0
心怀叵测	xhpc	简单鹤	189	1	真实语料:literature_word_freq,news_total_word_freq;成语双源;输入法双源	2	193	1	1
除恶务尽	iewj	简单鹤	1418	1	真实语料:literature_word_freq,news_total_word_freq;成语双源;输入法双源	2	191	1	1
半壁河山	bbhs	THUOCL+新华补充	32	1	真实语料:multi_domain_total_word_freq,news_total_word_freq;成语双源	2	191	1	0
东方不败	dfbb	简单鹤		0	真实语料:literature_word_freq,multi_domain_total_word_freq	2	191	0	0
退耕还林	tghl	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq;输入法双源	2	191	0	1
还政于民	hvym	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq	2	190	0	0
经久耐用	jjny	简单鹤		0	真实语料:literature_word_freq,news_total_word_freq;输入法双源	2	190	0	1
忍耐不住	rnbv	简单鹤		0	真实语料:literature_word_freq,news_total_word_freq	2	190	0	0
悲从中来	bcvl	简单鹤	463	1	真实语料:literature_word_freq,news_total_word_freq;成语双源;输入法双源	2	189	1	1
单打独斗	dddd	简单鹤		0	真实语料:literature_word_freq,news_total_word_freq;输入法双源	2	189	0	1
事到临头	udlt	简单鹤		0	真实语料:literature_word_freq,news_total_word_freq;输入法双源	2	189	0	1
一九八一	yjby	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq	2	189	0	0
北洋水师	byuu	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq	2	187	0	0
传染病学	irbx	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq	2	187	0	0
技压群芳	jyqf	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq;输入法双源	2	187	0	1
流水作业	luzy	简单鹤		0	真实语料:news_total_word_freq,subtlex;输入法双源	2	187	0	1
新旧交替	xjjt	简单鹤		0	真实语料:literature_word_freq,news_total_word_freq;输入法双源	2	187	0	1
青天白日	qtbr	简单鹤	342	1	真实语料:literature_word_freq,news_total_word_freq;成语双源;输入法双源	2	186	1	1
不近情理	bjql	简单鹤		0	真实语料:literature_word_freq,news_total_word_freq;输入法双源	2	186	0	1
半睡半醒	bubx	简单鹤		0	真实语料:literature_word_freq,news_total_word_freq	2	186	0	0
剩余产品	uyip	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq	2	186	0	0
风云突变	fytb	简单鹤	1119	1	真实语料:multi_domain_total_word_freq,news_total_word_freq;成语双源;输入法双源	2	185	1	1
天各一方	tgyf	简单鹤	670	1	真实语料:literature_word_freq,news_total_word_freq;成语双源;输入法双源	2	184	1	1
夙兴夜寐	sxym	简单鹤	322	1	真实语料:multi_domain_total_word_freq,news_total_word_freq;成语双源;输入法双源	2	184	1	1
不容分说	brfu	简单鹤	205	1	真实语料:literature_word_freq,news_total_word_freq;成语双源;输入法双源	2	184	1	1
始终不懈	uvbx	简单鹤	76	1	真实语料:literature_word_freq,news_total_word_freq;成语双源;输入法双源	2	184	1	1
借尸还魂	juhh	简单鹤	369	1	真实语料:literature_word_freq,news_total_word_freq;成语双源;输入法双源	2	183	1	1
抽抽噎噎	iiyy	简单鹤		1	真实语料:literature_word_freq,news_total_word_freq	2	183	0	0
通风设备	tfub	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq	2	183	0	0
刻苦耐劳	kknl	简单鹤	202	1	真实语料:literature_word_freq,news_total_word_freq;成语双源;输入法双源	2	182	1	1
千沟万壑	qgwh	简单鹤	151	1	真实语料:multi_domain_total_word_freq,news_total_word_freq;成语双源	2	182	1	0
铁壁铜墙	tbtq	简单鹤	55	1	真实语料:multi_domain_total_word_freq,news_total_word_freq;成语双源;输入法双源	2	182	1	1
按需分配	axfp	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq;输入法双源	2	182	0	1
卑躬屈节	bgqj	简单鹤		1	真实语料:literature_word_freq,news_total_word_freq;输入法双源	2	182	0	1
呜呜咽咽	wwyy	简单鹤		0	真实语料:literature_word_freq,news_total_word_freq	2	182	0	0
咕噜咕噜	glgl	简单鹤		0	真实语料:literature_word_freq,news_total_word_freq	2	181	0	0
创价学会	ijxh	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq	2	181	0	0
斯斯文文	ssww	简单鹤	456	1	真实语料:literature_word_freq,news_total_word_freq;成语双源;输入法双源	2	180	1	1
油腔滑调	yqhd	简单鹤	87	1	真实语料:literature_word_freq,news_total_word_freq;成语双源;输入法双源	2	179	1	1
是死是活	usuh	简单鹤		0	真实语料:literature_word_freq,news_total_word_freq	2	179	0	0
五笔字型	wbzx	简单鹤		0	真实语料:multi_domain_total_word_freq,news_total_word_freq;输入法双源	2	179	0	1
鼎鼎大名	dddm	简单鹤	582	1	真实语料:literature_word_freq,news_total_word_freq;成语双源;输入法双源	2	178	1	1
举世皆知	jujv	简单鹤	172	1	真实语料:multi_domain_total_word_freq,news_total_word_freq;成语双源	2	178	1	0
大闹天宫	dntg	简单鹤		0	真实语料:literature_word_freq,news_total_word_freq	2	178	0	0
软弱无能	rrwn	简单鹤	212	0	真实语料:literature_word_freq,news_total_word_freq;输入法双源	2	177	0	1
幡然悔悟	frhw	简单鹤	432	1	真实语料:literature_word_freq,news_total_word_freq;成语双源	2	176	1	0
