汉字	拼音	旧频率	新已分配频率	变化	该字待分配频率
笔	bi	5440	5664	224	29
笙	sheng	15	14	-1	10
笠	li	80	78	-2	2
第	di	40592	40590	-2	75
等	deng	71182	71184	2	0
筱	xiao	8	4	-4	11
简	jian	11874	11872	-2	81
算	suan	27605	27602	-3	547
管	guan	28986	28930	-56	176
箱	xiang	5896	5924	28	12
篱	li	135	138	3	0
簧	huang	168	161	-7	10
米	mi	9587	11128	1541	2032
粉	fen	3630	3625	-5	9
粘	nian	146	119	-27	826
粘	zhan	11	12	1	826
粮	liang	317	318	1	0
素	su	3693	3684	-9	31
索	suo	8208	8213	5	419
累	lei	3208	3206	-2	2
红	hong	7098	7165	67	323
纤	qian	2	7	5	53
约	yao	1	0	-1	1374
约	yue	21388	21393	5	1374
纳	na	6040	6022	-18	2129
纸	zhi	5210	5213	3	8
细	xi	6182	6159	-23	37
经	jing	80170	80181	11	27
结	jie	32975	32919	-56	60
绕	rao	1753	1754	1	0
给	gei	119574	119619	45	321
给	ji	4295	3961	-334	321
绝	jue	15985	15974	-11	30
绞	jiao	348	364	16	26
绮	qi	23	15	-8	8
绳	sheng	1670	1679	9	0
维	wei	10513	10483	-30	2262
绸	chou	182	183	1	4
绿	lu	3	16	13	47
绿	lv	2263	2249	-14	47
缇	ti	98	91	-7	7
缉	ji	599	606	7	68
缉	qi	7	0	-7	68
缩	suo	1689	1720	31	17
缪	miu	0	5	5	187
缴	jiao	271	284	13	0
缸	gang	708	709	1	0
罐	guan	1580	1583	3	6
网	wang	5907	5913	6	36
罗	luo	15134	15223	89	3230
罢	ba	2056	683	-1373	1375
署	shu	1181	1226	45	1
羊	yang	2284	2273	-11	12
美	mei	45059	45066	7	495
羚	ling	88	87	-1	1
羞	xiu	2131	2136	5	0
群	qun	4853	4854	1	26
翁	weng	544	548	4	10
翊	yi	1	0	-1	1
翻	fan	3373	3378	5	4
老	lao	52143	52146	3	542
考	kao	11426	11425	-1	188
者	zhe	42150	42148	-2	97
耶	ye	6815	6814	-1	153
聂	nie	34	31	-3	4
联	lian	14066	14072	6	45
肉	rou	6949	6974	25	22
肋	lei	400	404	4	1
肯	ken	22290	22289	-1	421
胃	wei	1426	1448	22	0
胞	bao	1675	1652	-23	23
胡	hu	5678	5698	20	89
胤	yin	2	0	-2	7
胸	xiong	3262	3264	2	0
能	neng	241610	241589	-21	28
脑	nao	13932	13921	-11	13
脖	bo	1319	1305	-14	25
脚	jiao	7255	7284	29	170
脯	fu	3	5	2	12
腓	fei	128	126	-2	2
腥	xing	371	372	1	0
膜	mo	647	632	-15	30
臂	bi	1283	1271	-12	190
臣	chen	453	456	3	11
